Number,Year Erected,Marker Name,Marker Text,Civil War Site?,Notes,Location,Latitude,Longitude,Condition,Mapped Location
177,2018,The Old Woman's Home,"On Dec. 17, 1891, the Tenn. legislature granted a charter establishing the Old Woman's Home 'for the care and protection of aged and helpless women.' In 1909, the women moved from 136 Cherry St. (4th Ave) to a new home at 2817 West End Ave. Later renamed The West End Home for Ladies, it was home to hundreds of elderly women until it was demolished in 1984. The West End Home Foundation continues this legacy of enriching the lives of older adults through grantmaking and advocacy.",,donated by the West End Home Foundation,2817 West End Avenue,36.144546,-86.812959,,POINT (-86.812959 36.144546)
87,1992,Nashville Sit-ins,"Formerly located at this site was First Baptist Church, Capitol Hill, headquarters of the 1960s Sit-In Movement, led by Rev. Kelly Miller Smith. Strategy sessions, non-violence workshops, mass meetings, victory celebrations, and administrative offices were here. The well-disciplined Nashville Sit-Ins served as a model for civil rights demonstrations throughout the South.",,,Eighth Avenue North and Charlotte Pike,36.164366,-86.785667,,POINT (-86.785667 36.164366)
109,2001,Ward's Seminary,"Ward's Seminary for Young Ladies, founded in 1865 by Dr. William E. Ward, stood at this site many years. Dr. Ward, a graduate of Cumberland University in Lebanon in both law and divinity, died in 1887. The school was sold, but continued to operate as Ward's Seminary until 1913 when it merged with Belmont College to form Ward-Belmont, a high school and junior college for women. Ward's was regarded as one of the leading schools for young women in the South.",,wall marker,272 Rosa L Parks Blvd,36.160131,-86.781836,,POINT (-86.781836 36.160131)
13,1969,Mrs. John Donelson,"After Col. John Donelson was killed in 1785, his widow and family continued to live here in a log house.  In 1789 lawyers Andrew Jackson and John Overton boarded with the Donelsons.  Here Jackson met Rachel, the Donelson's youngest daughter.  They married in 1791 and lived here until they acquired there own home across the Cumberland in 1792.",,,"Gallatin Pike (Hwy 31) near Myatt Drive intersection, 1787 Gallatin Pike North",36.296461,-86.699971,,POINT (-86.699971 36.296461)
105,1999,Duncan College Prepartory School for Boys,"Marvin T. Duncan, a graduate of Webb School (Bell Buckle) and Vanderbilt University, founded Duncan School in 1908 at this site on 25th Avenue, S. He and his wife, Pauline, taught at the school until it closed in 1952. The Duncans dedicated their lives to training boys in high principles of honor and scholarship. The school graduated some 752 men and 6 women, including many community leaders.",,,Twenty-fifth Avenue South in front of Vanderbilt Memorial Gym,36.143922,-86.806374,,POINT (-86.806374 36.143922)
192,2019,Cockrill Bend,"In 1786, the State of N.C. granted Gen. James Robertson several large tracts of land in this area. Robertson's Bend was renamed after the Cockrill family who established several farms and a mill here before the Civil War. The Romanesque-style third Tenn. State Penitentiary, designed by Chattanooga architect S.M. Patton, was built from 1893-97 and had 50 buildings. It closed in 1992. Ford Glass Plant opened in 1956 as one of the world's largest automobile glass manufacturers.",,Council District 20,Centennial Blvd. at Bomar Blvd.,36.171287,-86.862782,,POINT (-86.862782 36.171287)
170,2018,Cora Howe's 'wildings',"This house, built from Sewanee stone, was the home of Cora Howe, who created a bucolic, English-style garden here in the early 1920s. Known as 'Wildings,' her garden contained over 300 plant types, many of them native species, and a rare, thatched-roof tool house. Mrs. Howe was wholly dedicated to the unique garden estate, and opened it to the community for nearly 40 years. After her death in 1968, the gardens were transplanted to Cheekwood.",,Council District 6 doiuble sided,1921 Greenwood Avenue,36.189347,-86.735033,,POINT (-86.735033 36.189347)
170,2018,Eastland,"The Eastwood area, a suburb originally named Eastland in 1901, was laid out as the Brownsville plan in 1855, the land carved from the Weakley tract. Their c.1855 house remains at the northeast corner of Chapel and Greenwood.  Eastland Avenue, previously Vaughn's Pike, was named for and led to a 19th century farm near the river. The old Eastland School, now Eastland Park, was acquired in 1953 by the Park Board and functioned as a community center until the building was demolished.",,Council District 6 double sided,1921 Greenwood Avenue,36.189347,-86.735033,,POINT (-86.735033 36.189347)
178,2018,Centenary United Methodist Church,"Rev. William Gower built the first Gower's Chapel on his farm in 1805. A larger chapel, erected in 1850 on Gower land, also served as the local schoolhouse. On Oct. 5, 1884, the newly named Centenary Methodist Church was dedicated by Bishop Holland McTyeire. In 1922, the church relocated again. The new building was destroyed by a tornado on March 11, 1923, but was rebuilt within the year. Centenary United Methodist Church continues to worship at the same location on Gower Rd.",,double sided,6809 Gower Road,36.126892,-86.932021,,POINT (-86.932021 36.126892)
150,2013,Sylvan Park School,"A two-room frame school building was constructed here in 1907 to serve the children of newly-annexed West Nashville. Students in grades 1-8 attended here, and a second two-room building was added in 1909 for students in grades 1-4. Maria Wilson Hill served as first principal. In 1936, the Public Works Administration funded the construction of the current Art Deco building, designed by the architectural firm of Asmus and Clark.",,,"Sylvan Park School, 4801 Utah Avenue",36.144462,-86.844438,,POINT (-86.844438 36.144462000000004)
16,1969,Belmont Mansion,"This mansion was built in 1853 as a summer home for Joseph and Adelicia Acklen. An 1860 addition by architect Adolphus Heiman expanded the mansion's size to 36 rooms. The entrance to the 177 acre estate, which featured gardens decorated with marble statues and cst iron gazebos, was on Hillsboro Pike. Also on the grounds were greenhouses, a water tower, bowling alley, zoo, art gallery and deer park.",,replaced with updated text 2011,Belmont Campus in front of the mansion,36.135298,-86.794819,,POINT (-86.794819 36.135298)
18,1969,Johnson's Station,"In 1783, the State of North Carolina granted Cumberland Compact signer Isaac Johnson 640 ac. on Richland Creek. He settled near Johnson's Lick, a spring on a buffalo path to the southwest. By 1787, a double log house and partially picketed cabins named Johnson's Station stood here as a fort and tax collection site. Vacated in Jan. 1789, the station burned five months later. Charles Bosley, a wealthy member of the Nickajack Expedition and plantation owner, settled here in 1818.",,Marker Project- prioirty list replaced with updated text 2018,Harding Pike/ Memphis-Bristol Hwy and Vine Court,36.129844,-86.839452,,POINT (-86.839452 36.129844)
4,1968,Nashville Plow Works,"Site of a farm implement factory operated by Messrs. Sharp and Hamilton, previous to the War Between the States.  With the out-break of hostilities they reversed the Biblical injunction and produced swords of excellent quality for the Confederacy.  With the coming of the Federal Army, the making of swords was discontinued.",,,SE corner of Eighth Avenue South and Palmer Place,36.15339,-86.779382,,POINT (-86.779382 36.15339)
178,2018,Rev. William Gower (1776-1851),"On April 24, 1780, William Gower, age 3½, arrived with his family at the Bluffs settlements, now Nashville. In 1800 he settled near Overall Creek and in 1802 married Charlotte Garland. They had fifteen children, many of whom became prominent community leaders. A Methodist minister for over a half century, William founded Gower's Chapel on his own farmland. Gower Cemetery was established in 1816, with the burial of William's mother, Obedience Blakeley Gower.",,double sided,6809 Gower Road,36.126892,-86.932021,,POINT (-86.932021 36.126892)
110,2002,Old Hickory Triangle,"This intersection, known as 'The Triangle,' served as the commercial core of Old Hickory from the 1920s through the 1940s. A variety of shops were located here, including a grocery, bank, general store, barber shop, restaurants, and doctors' offices, as well as the bus station and YMCA. The Public Works Administration built the Colonial Revival Post Office in 1934-35.",,,"Old Hickory Village Triangle, formed by Old Hickory Boulevard, Donelson Avenue, and Bryan Street",36.264259,-86.650387,,POINT (-86.650387 36.264259)
167,2018,Riverside Sanitarium and Hospital,"Opened in 1927, Riverside Sanitarium and Hospital provided African-Americans in Nashville with modern healthcare and drew patients & medical professionals from across the country. The mid-century modern Pagoda of Medicine, designed by Leon Q. Jackson, was built in 1963 for Dr. Carl A. Dent, who twice served as the chief medical director & president of the medical staff. McKissack and McKissack oversaw the construction of new facilities in the 1970s. The hospital closed in 1983.",,Council District 2 double sided,800 Youngs Lane,36.204404,-86.795895,,POINT (-86.795895 36.204404)
100,1997,Central High School,"Founded in 1915 as the first public high school in the county system, Central High School stood here from 1921-1971. One of the earliest student government associations in the South began here. Many graduates became city and county political leaders. The last mayor of the old Nashville City Government, Ben West, and first Metro Government mayor, Beverly Briley, were classmates here.",,,161 Rains Avenue,36.135095,-86.764491,,POINT (-86.764491 36.135095)
206,2019,Percy Priest Lake,"Construction of the J. Percy Priest Dam and Reservoir began on June 2, 1963. The U.S. Army Corps of Engineers project was named for Priest, a teacher and Tennessean editor who served in Congress from 1940 until his death in 1956. Several small communities, like nearby Couchville, were destroyed during the creation of the lake. Dedicated on June 29, 1968, Percy Priest Dam generates Tenn. Valley Authority energy, and the 14,200-acre lake provides many recreational opportunities.",,Council District 29,3000 Smith Springs Rd.,36.08724,-86.60098,waiting to install,POINT (-86.60098 36.08724)
63,1976,Clover Bottom Mansion,"Built in 1858 by Dr. James Hoggatt on land inherited from his father, Capt. John Hoggatt, a Revolutionary War soldier, this fine Italian villa style home is centered in an area of local historical significance. John Donelson settled early in this rich Stone's River bottom area, followed by Andrew Jackson, who married his daughter, Rachel.",,,2941 Lebanon Pike (inside entrance to Tennessee Historical Commission),36.1708,-86.652783,,POINT (-86.652783 36.1708)
108,2001,Grassmere,"Col. Michael C. Dunn, a landowner and sheriff, built a home in the Federal style ca. 1810. A grandson-in-law, William D. Shute, received the farm in 1859 and named it Grassmere. Intact following the Civil War, the house was renovated and an Italianate porch added ca. 1880. Margaret and Elise Croft, 5th generation descendants, lived here until their deaths. Wishing to preserve the farm, the sisters gave it to future generations as a 'nature study center.'",,,3777 Nolensville Road,36.090371,-86.734215,DOWN DURING CONSTRUCTION,POINT (-86.734215 36.090371)
157,2017,Surrender of Nashville Charles Fuller Home,"After Union success to north in TN and KY, Col. John Kennett, 4th Ohio Vol. Cavalry, ordered Cpt. H.C. Rodgers to Edgefield. They met with Nashville mayor R.B. Cheatham, Feb. 23, 1862, at the Edgefield home of banker Charles Fuller, to discuss terms of surrender. The city was conveyed to Federal control on Feb. 25. Fuller became a U.S. Treasury agent at the end of the war prior to his death in 1868. The Fuller home was destroyed in the East Nashville Fire of 1916.",TRUE,"typo on original, replaced 2017","612 Woodland Street, East Park",36.17293,-86.761689,,POINT (-86.761689 36.17293)
142,2011,Belmont-hillsboro Neighborhood,"When Adelicia Acklen's estate was sold in 1890, the Belmont Mansion and its grounds became Belmont College. Other portions, and parts of the neighboring Sunnyside Mansion property, were subdivided into residential lots by the Belmont Land Co. In 1900-1910, streetcar lines were built running to Cedar Lane on Belmont Boulevard and to Blair Boulevard on 21st Ave. The neighborhood became a National Register Historic District in 1980.",,damaged and replaced in 2016,2500 Belmont Boulevard,36.125631,-86.794057,,POINT (-86.794057 36.125631)
47,1971,Saint Cecilia Academy,"The name Saint Cecilia, patroness of music was chosen for a grammar and high school for girls, opened in October 1860 by four sisters who had moved to this site from Saint Mary's convent, Third Order of Saint Dominic, Somerset, Ohio on August 17, 1860. The central building was completed in 1862, the west wing in 1880, and the east wing in 1913.",,,Dominican Drive near Athens Way,36.187433,-86.800067,,POINT (-86.800067 36.187433)
83,1987,Black Churches of Capitol Hill,"1. First Baptist Church, Capitol Hill (1848) 2. Gay Street Christian Church (1859) 3. Mount Olive Missionary Baptist Church (1887) 4. St. Andrews Presbyterian Church (1898) 5. St. John A.M.E. Church (1863) 6. Spruce Street Baptist Church (1848). These six churches stood within 1/6 mile of this marker.  These six Black churches stood in the center of Nashville's prosperous Black business district before the Capitol Hill Redevelopment Program. Several began before the Civil War as 'missions' or Sunday School classes of earlier white churches. All boasted memberships of over 1,000 by 1910 and claimed the city's most prominent Black business and professional families. All but one moved in the 1950s, and all continue to serve the Nashville community.",,,"Charlotte Pike, between 10th Avenue North and YMCA Way (across from Avon Williams of TSU)",36.163616,-86.787467,,POINT (-86.787467 36.163616)
156,2016,Music Row,"The heart of Nashville's music business, Music Row began in 1955, when Owen Bradley opened the Quonset Hut, the first recording studio here. In 1957, Chet Atkins opened RCA's studio at the corner of 17th and Hawkins. Other studios, publishing houses, and record labels including Columbia, Epic, Decca, Warner Bros, Capitol, and Curb followed with offices here. Street names were changed in 1975 to Music Square East and West.                                                                                                               Donated by Mike Curb Family Foundation",,,"Owen Bradley Park, 1 Music Square East",36.151803,-86.792075,,POINT (-86.792075 36.151803)
165,2018,Locust Hill,"Located near Mill Creek, Locust Hill is one of the earliest brick homes in Middle Tennessee. Built c. 1805, it was home to the Charles Hays family until after the Civil War. The Federal-style house features intricately carved mantles and millwork, and impressive faux-wood graining techniques. It was listed in the National Register of Historic Places in 1974.",,Council District 28,834 Reeves Rd.,36.064989,-86.671836,,POINT (-86.671836 36.064989)
75,1981,Western Harmony',"Music publishing in Nashville began in 1824 when 'The Western Harmony' was published by Allen D. Carden and Samuel J. Rogers. A book of hymns and instruction for singing, it was printed by Carey A. Harris on the press of his newspaper, the Nashville Republican, on College Street (now Third Avenue) in this vicinity.",,replaced with updated text 2011,Third Avenue North and James Robertson Parkway,36.166877,-86.779425,,POINT (-86.779425 36.166877)
215,,Lock 2 Park,"In 1888, the U.S. Army Corps of Engineers sought to make water travel on the Cumberland River easier by regulating water levels with a series of dams and locks. Construction on Lock 2 began in 1892, and the lock and dam were finished in 1907. The project ended in 1924 with only 15 of the planned 26 locks completed. Leased to Metro Parks since 1956, Lock 2 Park still contains the lock keeper's house, several outbuildings, a lock wall, and a river gauge on the concrete steps.",,Marker Project-priority list,Lock 2 Park,36.244124,-86.701794,ordered/ not arrived,POINT (-86.701794 36.244124)
55,1975,Fort Negley Site,"The guns of Fort Negley, commanding three turnpikes to the South & Southeast, opened the Battle of Nashville, Dec. 15, 1864. This site was selected by Capt. J.S. Morton as the key strongpoint in the Federal line around the city. The European style fort named for General James S. Negley, was built of stone, logs, earth and railway iron.",TRUE,,"Ridley Avenue, at Fort Negley entrance",36.142933,-86.775909,,POINT (-86.775909 36.142933)
205,2019,Crieve Hall,"The Crieve Hall neighborhood was part of the over 2,000-acre estate of John Overton, on which he built Travellers Rest in 1799. Jesse M. Overton built an English Tudor-style house called Overton Hall near here in 1900. Mr. and Mrs. Herbert Farrell purchased the estate in 1925, expanded the home and extensive gardens, and renamed it Crieve Hall after the ancestral Farrell home in Northern Ireland. The house was razed in the 1950s, and Crieve Hall Elementary School opened in 1955.",,Council District 26,498 Hogan Road,36.065264,-86.757741,,POINT (-86.757741 36.065264000000006)
137,2009,The Craighead House,"This Federal-style home was built c1810 for John Brown Craighead and his first wife Jane Erwin Dickinson. Craighead was the son of early Nashville settler the Rev. Thomas Craighead. In 1823, Craighead married Lavinia Robertson Beck, youngest daughter of Nashville founders Charlotte and James Robertson. Major additions to the house were made in 1824, 1919, and 1998. Developers purchased the Craighead estate in 1905 and planned the present-day Richland-West End neighborhood.",,,3710 Westbrook Avenue,36.138636,-86.830844,,POINT (-86.830844 36.138636)
191,2019,Elizabeth Atchison Eakin 1858-1936,"Elizabeth Rhodes Atchison, born in Nashville on Feb. 26, 1858, married prominent banker John H. Eakin in 1882. Active in many civic causes, in 1917 she became the first woman to join the Nashville City School Board. After her death in 1936, a new school on Fairfax Ave., built with funds from the Works Progress Administration (WPA), was named in her honor. In 2006, Eakin School moved to the adjacent Cavert School. The Eakin Building became the Martin Center for teacher training.",,Council District 18,2500 Fairfax Avenue Eakin Elemnetary School,36.134841,-86.807297,,POINT (-86.807297 36.13484100000001)
174,2018,Joy Floral Company,"In 1882, T.S. and T.C. Joy, founders of Joy & Son floral co. (est. 1877), bought 91 acres east of Lischey Ave. for their greenhouse operations, including the Gen. White home and White-Ogden Cemetery. The Joys built a large greenhouse (1886) and two brick dwellings along Lischey c. 1890. One of the South's largest florists, Joy Floral Co. opened retail shops and wholesale depts. in Chattanooga (1915) and Atlanta (1920). By 1938, the company had nearly all female leadership.",,Council District 5,1433 Lischey Ave,36.19887,-86.762245,,POINT (-86.762245 36.19887)
148,2013,W.r. Rochelle (1904-1989),"A graduate of Peabody College, William Rayburn Rochelle served as principal of Cohn High School from 1939 until his retirement in 1965. An innovative educator, he led Cohn in developing student government and was responsible for a state of the art music education program. Rochelle devoted his life to education and community service, especially to adults with intellectual disabilities. In 1968, he founded the Rochelle Center for disabled adults and their families.",,double-sided,"Cohn School, 4805 Park Avenue, (Sylvan Park)",36.150993,-86.84525,,POINT (-86.84525 36.150993)
167,2018,"Dorothy Lavinia Brown, M.d. (1919-2004)","Dorothy Brown was born in 1919 in Philadelphia, Penn. She attended Meharry Medical College and studied under Dr. Matthew Walker, Sr., who admitted her as the first black woman to the surgery program. She was the first female African-American surgeon in the South, and the first to be made a Fellow of the American College of Surgeons. She was chief of surgery at Riverside Hospital from 1957-1983. In 1966, she became the first African-American woman to serve in the Tenn. Gen. Assembly.",,Council Distirct 2 double sided,800 Youngs Lane,36.204404,-86.795895,,POINT (-86.795895 36.204404)
2,1968,Captain John Rains 1743-1834,"On Christmas Day 1779, John Rains led his family and livestock across the frozen Cumberland and settled in this vicinity. In 1784 he built a fort that enclosed this hill and the spring 75 yards east. At james Robertson's orders he often led a company of scouts against Indians. Rains made his home here until his death in 1834.",,replaced with updated text in 2011,SW corner of Rains Avenue and Merritt Street,36.139021,-86.764014,,POINT (-86.764014 36.139021)
36,1970,Nashville Fire Department,"The city's first fire-fighting force of volunteers was formed in May 1807. The first paid Dept. was organized on July 29, 1860, with J.S. Dashiell as chief. Three horse-drawn steam engines were bought. A telegraph alarm was installed in 1875. Chief A.A. Rozetta used the first auto Nov. 21, 1910. First gasoline driven engines were used Sept. 1912.",,,Hermitage Avenue and Middleton Street,36.155734,-86.76696,,POINT (-86.76696 36.155734)
112,2003,Tanglewood Historic District,"The Tanglewood Historic District is a rustic style suburban development from the 1920-1940s built by Robert M. Condra, a prominent Nashville builder. Natural materials are featured in this popular Arts and Crafts substyle that harmonizes with the landscape. Tanglewood is located at the site of a late 1700s settlement known as Haysborough.",,,"4908 Tanglewood Drive North, Madison",36.235032,-86.716733,,POINT (-86.716733 36.235032)
59,1975,Battle of Nashville Federal Main Line,"On Dec. 16, 1864, the Federal 16th Corps under Gen. A.J. Smith joined the 23rd Corps under Gen. John M. Schofield approx. 1000 ft. north of here. From that line at about 4:00 p.m. the 1st Brigade of Gen. John McArthur's 1st Division launched the assault that broke the Confederate line at the salient on Shy's Hill to the southeast which resulted in the rout of Hood's Army.",TRUE,Marker Project- prioirty list replaced with updated text in 2018,,,,CURRENTLY DOWN,
9,1968,Holy Trinity Episcopal Church,"This building, renowned for its pure Gothic architecture and harmony of proportions, was designed by Wills & Dudley, of New York, in a style suggesting an English village church.  The cornerstone was laid May 7, 1852, by Bishop James Otey.  The church was used as a powder magazine by the Union Army for several months during the Civil War.",,,615 Sixth Avenue South,36.152393,-86.775095,,POINT (-86.775095 36.152393)
146,2012,Mary Catherine Schweiss Strobel (1912-1986),"Nashville native Mary Catherine Strobel was the first female employee of the Nashville Fire Department, serving from 1948 to 1977. She also devoted her life to helping the poor.  She lived in the family home, 1212 7th Avenue North, from 1938 to 1971.  Mary Catherine was murdered in Nashville on Dec. 9, 1986 in a random act of violence. In 1987, the community established the Mary Catherine Strobel Volunteer Awards to foster her giving spirit and her legacy of community service.",,Donated by the grandchildren of Mary Catherine Schweiss Strobel,1212 17th Avenue North (Germantown),36.174855,-86.790906,,POINT (-86.790906 36.174855)
43,1971,Wallace University School 1886-1941,"To prepare young men for College & for life, believing the first object of education to develop character, the second to develop intellect, third to make Christian gentlemen, Wallace University School, directed by Professor Clarence B Wallace, flourished on this site, 1914-1941. Graduates entered universities without taking the usual examinations.",,,"2000 block of West End Avenue, near 20th Avenue",36.151467,-86.799529,CURRENTLY DOWN DURING CONSTRUCTION,POINT (-86.799529 36.151467)
50,1971,Eighth Avenue South Reservoir,"This 51 Mil. Gal. Reservoir was built 1887-89 on Kirkpatrick Hill, the site of Federal Fort Casino during Civil War. It is elliptical in shape with axes of 603 & 463.4 Ft. Perimeter of wall is 1,746 Ft. & water depth is 31 Ft. Rupture in east wall occurred at 12:10 A.M., Nov. 5, 1912. The interior was waterproofed in 1921. Designated as a National Water Landmark by AWWA, 1971.",,,"8th Avenue South entrance to reservoir, wall marker",36.13898,-86.779139,,POINT (-86.779139 36.13898)
152,2013,Jack Clement Recording Studio,"After success in Memphis with Sun Records, 'Cowboy' Jack Clement founded Jack Clement Recording Studio in 1969, producing and writing for artists such as Johnny Cash and Charley Pride. It was the first facility of its kind in Nashville, with interiors designed by Jim Tilton. Sold in 1979 and renamed Sound Emporium, artists such as Kenny Rogers, Dottie West, Ray Stevens, Don Williams, John Denver, R.E.M., Robert Plant & Alison Krauss have recorded here.",,,3011 Belmont Boulevard,36.118659,-86.796243,,POINT (-86.796243 36.118659)
125,2007,First Baptist Church,"Organized in 1820, this is the church's third downtown location. The elaborate Gothic tower is all that remains of the Matthews & Thompson building that stood at this location from 1886 to 1967. The Baptist Sunday School Board, now one of the world's largest publishers of religious materials, was organized here in 1891. Edwin Keeble Associates designed the new building, which opened in 1970.",,Donated by First Baptist Church,"First Baptist Church, 108 Seventh Avenue South (marker is on the Broadway side of the church)",36.159464,-86.780751,,POINT (-86.780751 36.159464)
158,2017,Surrender of Nashville East Bank of the Cumberland,"On Feb. 25, 1862, Nashville became the first Confederate state capital to fall to Federal forces. Two days prior, the 4th Ohio Vol. Cavalry arrived from Bowling Green, KY and set up pickets along the east bank of the river. Gen. D.C. Buell arrived by rail with about 9,000 men, and on Feb. 25, Gen. William Nelson and a flotilla carrying around 7,000 men arrived from the recent surrender at Fort Donelson. That afternoon, Mayor R.B. Cheatham surrendered the city to Gen. Buell.",TRUE,,"East Bank Greenway, Cumberland Park",36.16382,-86.772166,,POINT (-86.772166 36.16382)
160,2017,Holy Trinity Greek Orthodox Church,"The Holy Trinity Greek Orthodox Church was established on Nov. 4, 1917, at 208 6th Ave S., the former site of Wallace Univ. School. Greek immigrants began moving to Nashville in the 1880s in search of better economic opportunities. In 1905 a benevolent society was established—the Greek-American Mutual Help Association—which served as a religious and cultural center and raised funds for the purchase of the 6th Ave. property. In 1986, the church moved to 4905 Franklin Pike.",,,corner of 6th Avenue South and Demonbreun Street,36.157884,-86.778761,,POINT (-86.778761 36.157884)
38,1971,John Trotwood Moore 1858-1929,"Tennessee novelist, poet, co-author, four-volume history, 'Tennessee, the Volunteer State'; publisher, 'Trotwood Monthly'; author of short stories; breeder & judge of livestock; teacher, lecturer; beloved companion & raconteur; President, Tennessee Historical Society; State Librarian & Archivist, 1919-1929; lived in his home Arden Place on this site.",,,4425 Granny White Pike,36.09516,-86.801415,,POINT (-86.801415 36.09516)
89,1992,Battle of Nashville Confederate Line,"Trenches about 20ft. N of this point, held by Loring's Division, were the center of the Confederate main line before the Battle of Nashville. On Dec. 15, 1864, Redoubt No.1, a key artillery salient 200 yds. NW, fired on Federal forces until overrun by General Wood's troops late in the day, when Confederates retreated toward Granny White Pike.",TRUE,,"1808 Woodmont Boulevard, near intersection of Hopkins St.",36.113627,-86.805837,,POINT (-86.805837 36.113627)
49,1971,Neill S. Brown 1810-1886,"Located 125 yards north is the site of Idlewild, home of Neill S. Brown, native of Giles County & fourteenth governor of Tennessee, 1848-1850. The only governor to live in East Nashville, he is credited with naming the city of Edgefield. Appointed United States Minister to Russia in 1850, and in 1870 was a member of the State Constitutional Convention.",,,Neill Avenue between Main Street and Ramsey Street,36.176385,-86.757988,,POINT (-86.757988 36.176385)
45,1971,Belle Vue,"The original log part of this house was built about 1818 by Abram DeMoss and named Belle Vue for the house his father, Lewis DeMoss, built in 1797 overlooking the Harpeth River a mile southwest.  In time the name was given to the Nashville & Northwestern Railroad depot and to the U.S. Post Office.  Thus the Bellevue community owes its name to this historic site.",,,7306 Old Harding Road,36.066499,-86.936354,,POINT (-86.936354 36.066499)
84,1990,Union Station,"Erected by the Louisville & Nashville Terminal Co. & dedicated Oct. 9, 1900, the Romanesque style building of Bowling Green Gray stone and Tennessee marble was designed by L & N Chief Eng. Richard Montfort. The past grandeur of the structure is still evident in the ornate fresco figures, stained glass windows & elaborate wrought iron decoration.",,replaced #42 Union Station,1001 Broadway,36.157808,-86.78422,,POINT (-86.78422 36.157808)
211,,Loveless Cafe,"In 1951, Lon and Annie Loveless began serving fried chicken, biscuits and jams at picnic tables to hungry travelers from Highway 100, then the main road between Nashville and Memphis. They soon converted their 4-room home into a restaurant, added the 14-room Loveless Motel, a smokehouse and the iconic neon sign. Known for scratch-made Southern meals using recipes passed down by Lon and Annie, The Loveless Cafe remains a staple that welcomes over half a million guests each year.",,Council District 35,8400 TN-100,36.034806,-86.972431,ordered/ not arrived,POINT (-86.972431 36.034806)
176,2018,Ravenwood,"Built in 1903 by Judge J.D.B. and Sarah DeBow, the two-story stone house called Ravenwood was razed and rebuilt in 1947 by businessman R.D. Stanford, Jr. The 272-acre estate included terraced gardens, stone walls and a man-made lake. In 1957, Stanford sold the land to the Donelson Improvement Co. to become the private Ravenwood Club. A swimming pool, tennis courts, equestrian trails and 18-hole golf course were added. Metro Parks and Recreation purchased the property in 2012.",,Council District 14,"Stones River Greenway, past Stone Hall",36.187536,-86.635742,,POINT (-86.635742 36.187536)
207,2019,Alfred Z. Kelley,"Nashville barber Alfred Z. Kelley was lead plaintiff in Kelley v. Board of Education, a federal lawsuit filed Sept. 23, 1955, on behalf of his son Robert and 20 other African American children. In December, the suit was amended to include two white children turned away from city schools. They lived in majority African American neighborhoods. Kelley sought compliance with the U.S. Supreme Court's 1954 Brown ruling. Tenn.'s longest desegregation case, it was settled in April 1998.",,Council Distirct 31,"A.Z. Kelley Elementary,  5834 Pettus Rd.",36.022027,-86.660218,,POINT (-86.660218 36.022027)
130,2008,Buchanan Log House,James Buchanan (1763-1841) built this two-story single pen log house with hall and parlor plan c1807. The single pen log addition was added c1820 to accommodate the Buchanan family's sixteen children. The house displays a high level of craftsmanship and is one of the best examples of two-story log construction in Middle Tennessee. The house was restored and placed in the National Register of Historic Places in 1984.,,,Elm Hill Pike in front of Buchanan Log House,36.144776,-86.657683,,POINT (-86.657683 36.144776)
197,2019,Historic Bellevue,"Belle Vue was the name Abraham Louis DeMoss gave the land he bought overlooking the Harpeth River in 1800. His gristmill and sawmill stood nearby. When the Nashville-Northwestern Railroad cut its line to Kingston Springs in 1855, Bellevue became the hub of this area with a railroad depot, blacksmith shop and livery stable. In 1866 T.L. Herrin opened a general store and post office to the north. A two-story frame pre-railroad storage building now houses Bellevue Lodge No. 716.",,Council District 22,7420 Old Harding Pike,36.064017,-86.94039,,POINT (-86.94039 36.064017)
203,2019,Rev. Bill Barnes (1931-2017),"Reverend William L. 'Bill' Barnes, a pastor, civil rights leader and teacher, was often called the 'conscience of Nashville.' Rev. Barnes passionately agitated for legislation that would help those marginalized by race, social class, sexual orientation, incarceration or homelessness. He also founded many organizations to bring attention to those issues including MANNA (1975), Project Return (1979) and the Organized Neighbors of Edgehill (O.N.E.) Barnes Scholarship (1995).  In 1966 Rev. Barnes founded Edgehill United Methodist Church, one of Nashville's first intentionally integrated churches. His work, addressing issues like affordable housing, often centered in the Edgehill community. Barnes wanted his work to be carried into the future, believing, much like Saint Óscar Romero, that 'The temple shall remain unfinished until all are housed in dignity.' In 2013 The Barnes Housing Trust, the city's affordable housing fund, was named in his honor.",,double sided,1502 Edgehill Avenue,36.143243,-86.790861,,POINT (-86.790861 36.143243)
122,2005,Albertine Maxwell,"Regarded as the symbol of dance in her adopted hometown of Nashville, Ellen Albertine Chaiser Maxwell (1902-96) operated the Albertine School of the Dance (1936-80). She had danced with Chicago Opera, Adolf Baum Dance Co., and Ruth St. Denis Dance Co. Founder and director of the Les Ballets Intimes with Nashville Ballet Society (1945-80), Maxwell was also a founding member of the Southeastern Regional Ballet Assn. (1955). Her studio in her home, 3325 West End, no longer stands.",,,West End Avenue and Orleans Drive,36.139583,-86.818703,,POINT (-86.818703 36.139583)
58,1975,Montgomery Bell Academy,"Formerly established in 1867 with a bequest of $20,000 by ironmaster Montgomery Bell, the roots of M.B.A. actually go back to 1785, with the University of Nashville, Cumberland College, and Davidson Academy. The boy's preparatory school has been here since 1915, when the Board of Trustees purchased Totomoi, the estate of Garland Tinsley.",,,4001 Harding Road,36.130229,-86.837876,,POINT (-86.837876 36.130229)
